NOM_USUEL,LAT,LON,ALTI,AAAAMM,year,month,RR,TM,TX,RRAB,NBJNEIG,NBJGREL,NBJORAG,NBJBROU
AHUN LYCEE,46.093333,2.029833,460,janv. 1877,1877,1,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,févr. 1877,1877,2,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,mars 1877,1877,3,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,avr. 1877,1877,4,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,mai 1877,1877,5,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,juin 1877,1877,6,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,juil. 1877,1877,7,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,août 1877,1877,8,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,sept. 1877,1877,9,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,oct. 1877,1877,10,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,nov. 1877,1877,11,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,déc. 1877,1877,12,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,janv. 1878,1878,1,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,févr. 1878,1878,2,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,mars 1878,1878,3,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,avr. 1878,1878,4,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,mai 1878,1878,5,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,juin 1878,1878,6,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,juil. 1878,1878,7,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,août 1878,1878,8,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,sept. 1878,1878,9,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,oct. 1878,1878,10,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,nov. 1878,1878,11,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,déc. 1878,1878,12,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,janv. 1879,1879,1,NA,NA,NA,NA,NA,NA,NA,NA
AHUN LYCEE,46.093333,2.029833,460,févr. 1879,1879,2,NA,NA,NA,NA,NA,NA,NA,NA
