NOM_USUEL,LAT,LON,ALTI,AAAAMM,year,month,RR,TM,TX,RRAB,NBJNEIG,NBJGREL,NBJORAG,NBJBROU
ALAIGNE,43.1125,2.098333,293,janv. 1971,1971,1,85.1,5.4,9.1,15.4,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,févr. 1971,1971,2,76.7,5.7,9,28.5,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,mars 1971,1971,3,110.5,4.6,8.3,32.6,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,avr. 1971,1971,4,55.1,12.8,17.5,15.6,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,mai 1971,1971,5,62.7,14.7,18.7,17.6,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,juin 1971,1971,6,58.6,17.2,21.7,16.6,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,juil. 1971,1971,7,21.6,21.8,27.5,8.8,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,août 1971,1971,8,58.2,21.9,27.3,44.6,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,sept. 1971,1971,9,71.3,18.1,23,43.1,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,oct. 1971,1971,10,32.1,15.4,20,14.2,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,nov. 1971,1971,11,92.9,6.2,9.6,32.2,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,déc. 1971,1971,12,148.5,7.2,9.6,68.8,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,janv. 1972,1972,1,114,5.4,7.7,31.5,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,févr. 1972,1972,2,86.1,7.5,10.8,16.8,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,mars 1972,1972,3,53,9.5,14.2,11,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,avr. 1972,1972,4,111.7,10,13.6,26.2,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,mai 1972,1972,5,66.2,13.2,17.5,22,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,juin 1972,1972,6,91.5,16,20.5,21.3,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,juil. 1972,1972,7,16.4,21,26.6,6,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,août 1972,1972,8,36.4,19,23.6,20.5,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,sept. 1972,1972,9,55.5,15.2,19.4,24.1,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,oct. 1972,1972,10,21.5,13.5,17.4,9.2,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,nov. 1972,1972,11,58.4,10.2,13.6,35.6,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,déc. 1972,1972,12,21.8,7.1,10.7,9.5,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,janv. 1973,1973,1,65.1,4.3,7.1,28,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,févr. 1973,1973,2,114.6,4.7,7.8,47,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,mars 1973,1973,3,19.5,7.1,12,11.8,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,avr. 1973,1973,4,16.9,9.4,13.9,3.4,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,mai 1973,1973,5,28.3,15.6,20.8,9.5,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,juin 1973,1973,6,87.2,18.8,23.9,42.4,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,juil. 1973,1973,7,26.4,21,26.6,6.8,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,août 1973,1973,8,33,23.3,28.9,15,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,sept. 1973,1973,9,33.3,18.8,24.1,22.3,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,oct. 1973,1973,10,12.2,12.9,17.8,6.4,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,nov. 1973,1973,11,28.5,9.3,13.3,14.7,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,déc. 1973,1973,12,98.1,5.7,9,40,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,janv. 1974,1974,1,33.1,7.5,11.1,8,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,févr. 1974,1974,2,136.7,6.2,9.1,24.1,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,mars 1974,1974,3,113.5,8.5,12.4,29.3,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,avr. 1974,1974,4,96.7,10.4,14.4,47.3,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,mai 1974,1974,5,61,14.4,19.4,15.8,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,juin 1974,1974,6,21.4,18.6,24.5,8.2,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,juil. 1974,1974,7,27.9,20.9,26.4,8.8,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,août 1974,1974,8,46.5,20.1,25.2,27.3,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,sept. 1974,1974,9,65.7,16.1,20.3,10.4,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,oct. 1974,1974,10,98.4,9.1,12.2,18.8,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,nov. 1974,1974,11,85.2,8.9,12.2,29.6,NA,NA,NA,NA
ALAIGNE,43.1125,2.098333,293,déc. 1974,1974,12,15.8,8.2,11,11.3,NA,NA,NA,NA
