NOM_USUEL,LAT,LON,ALTI,AAAAMM,year,month,RR,TM,TX,RRAB,NBJNEIG,NBJGREL,NBJORAG,NBJBROU
AJACCIO,41.918,8.792667,5,janv. 2024,2024,1,16.4,11.2,15.6,5.2,0,NA,0,1
AJACCIO,41.918,8.792667,5,févr. 2024,2024,2,113.7,11.6,16.1,37.5,0,NA,2,0
AJACCIO,41.918,8.792667,5,mars 2024,2024,3,90.3,13.2,18,23.1,0,NA,1,0
AJACCIO,41.918,8.792667,5,avr. 2024,2024,4,11,14.9,20.7,3.8,0,NA,1,0
AJACCIO,41.918,8.792667,5,mai 2024,2024,5,29.7,18.1,23.2,18.4,0,NA,1,0
AJACCIO,41.918,8.792667,5,juin 2024,2024,6,9.8,21.9,27.3,5.4,0,NA,1,0
AJACCIO,41.918,8.792667,5,juil. 2024,2024,7,0.2,25.1,30.6,0.2,0,NA,2,0
AJACCIO,41.918,8.792667,5,août 2024,2024,8,7.9,26.3,31.9,6.7,0,NA,3,0
AJACCIO,41.918,8.792667,5,sept. 2024,2024,9,53.2,21.4,26.4,19.5,0,NA,5,0
AJACCIO,41.918,8.792667,5,oct. 2024,2024,10,121.5,19.3,23.8,18.4,0,NA,3,0
AJACCIO,41.918,8.792667,5,nov. 2024,2024,11,20.9,15,20.3,13.1,0,NA,0,0
AJACCIO,41.918,8.792667,5,déc. 2024,2024,12,41.2,10.3,15.8,18.9,0,NA,2,0
AJACCIO,41.918,8.792667,5,janv. 2025,2025,1,69.7,11.4,15.9,38.1,0,NA,0,1
AJACCIO,41.918,8.792667,5,févr. 2025,2025,2,15.4,11.6,16.6,6.8,0,NA,2,0
AJACCIO,41.918,8.792667,5,mars 2025,2025,3,88.2,13.1,18.1,18.4,0,NA,3,0
AJACCIO,41.918,8.792667,5,avr. 2025,2025,4,59,15.3,19.9,29.1,0,NA,1,0
AJACCIO,41.918,8.792667,5,mai 2025,2025,5,25.9,18.3,23.7,6.4,0,NA,2,0
AJACCIO,41.918,8.792667,5,juin 2025,2025,6,0,24,29.8,0,0,NA,0,0
AJACCIO,41.918,8.792667,5,juil. 2025,2025,7,0.6,25,30.5,0.6,0,NA,4,0
AJACCIO,41.918,8.792667,5,août 2025,2025,8,11.7,24.9,30.3,9.1,0,NA,7,0
