NOM_USUEL,LAT,LON,ALTI,AAAAMM,year,month,RR,TM,TX,RRAB,NBJNEIG,NBJGREL,NBJORAG,NBJBROU
BELEP AEROD,-19.719833,163.661,88,janv. 2024,2024,1,110.9,28.3,31.2,34.9,NA,NA,NA,NA
BELEP AEROD,-19.719833,163.661,88,févr. 2024,2024,2,158,28.3,31,30,0,NA,NA,0
BELEP AEROD,-19.719833,163.661,88,mars 2024,2024,3,285,27.2,29.5,122.1,NA,NA,NA,NA
BELEP AEROD,-19.719833,163.661,88,avr. 2024,2024,4,52.7,26.6,28.9,16,NA,NA,NA,NA
BELEP AEROD,-19.719833,163.661,88,mai 2024,2024,5,21.1,24.2,26.5,12.3,NA,NA,NA,NA
BELEP AEROD,-19.719833,163.661,88,juin 2024,2024,6,43.7,23.6,25.7,25.5,0,NA,NA,0
BELEP AEROD,-19.719833,163.661,88,juil. 2024,2024,7,57.4,22.3,24.7,47.4,NA,NA,NA,NA
BELEP AEROD,-19.719833,163.661,88,août 2024,2024,8,26.1,23,25.4,12.9,0,NA,NA,0
BELEP AEROD,-19.719833,163.661,88,sept. 2024,2024,9,35.4,24.1,26.8,27.8,NA,NA,NA,NA
BELEP AEROD,-19.719833,163.661,88,oct. 2024,2024,10,38.3,25.1,28.3,14,NA,NA,NA,NA
BELEP AEROD,-19.719833,163.661,88,nov. 2024,2024,11,127.9,26.5,29.6,91.2,NA,NA,NA,NA
BELEP AEROD,-19.719833,163.661,88,déc. 2024,2024,12,305,28,30.8,110.2,0,NA,NA,0
BELEP AEROD,-19.719833,163.661,88,janv. 2025,2025,1,79.1,27.9,31,20.6,NA,NA,NA,NA
BELEP AEROD,-19.719833,163.661,88,févr. 2025,2025,2,281,27.6,30.2,110.1,NA,NA,NA,NA
BELEP AEROD,-19.719833,163.661,88,mars 2025,2025,3,60,27.7,30.2,9.1,0,NA,NA,0
BELEP AEROD,-19.719833,163.661,88,avr. 2025,2025,4,284.4,26.7,29.3,67.2,NA,NA,NA,NA
BELEP AEROD,-19.719833,163.661,88,mai 2025,2025,5,102.2,25.7,28,55.4,0,NA,NA,0
BELEP AEROD,-19.719833,163.661,88,juin 2025,2025,6,125.7,24.2,26.3,57.7,0,NA,NA,0
BELEP AEROD,-19.719833,163.661,88,juil. 2025,2025,7,77.7,23.4,25.9,56.1,NA,NA,NA,NA
BELEP AEROD,-19.719833,163.661,88,août 2025,2025,8,100.5,22.7,25.2,43.4,0,NA,NA,0
BELEP AEROD,-19.719833,163.661,88,sept. 2025,2025,9,7.8,23.8,26.6,7.4,0,NA,NA,0
BOULOUPARIS,-21.874167,166.051833,8,janv. 2024,2024,1,91.8,28,33.7,23.8,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,févr. 2024,2024,2,94,27.2,32.4,38.2,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,mars 2024,2024,3,74.4,26.4,31.3,21.4,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,avr. 2024,2024,4,56.5,24.8,30.6,24.2,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,mai 2024,2024,5,7.4,21.2,28.4,3.2,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,juin 2024,2024,6,39.5,21.2,27.2,20.3,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,juil. 2024,2024,7,0,20,25.5,0,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,août 2024,2024,8,26,20,26.8,15,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,sept. 2024,2024,9,3,22,29.2,1,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,oct. 2024,2024,10,7.6,23,30,2.4,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,nov. 2024,2024,11,8.4,25.3,32.1,4,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,déc. 2024,2024,12,92.3,27.5,33.2,38.8,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,janv. 2025,2025,1,108.1,26.7,32.2,36.4,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,févr. 2025,2025,2,192,26.9,31.1,52,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,mars 2025,2025,3,98.6,26.5,31.7,35.5,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,avr. 2025,2025,4,292.7,25.9,30.8,165.8,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,mai 2025,2025,5,14.2,23.6,29.1,3.8,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,juin 2025,2025,6,132.6,21.7,27,38.1,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,juil. 2025,2025,7,40.7,20.8,26.3,11.1,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,août 2025,2025,8,91.8,20.6,25.8,21.3,NA,NA,NA,NA
BOULOUPARIS,-21.874167,166.051833,8,sept. 2025,2025,9,25.3,20.6,27.2,20.9,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,janv. 2024,2024,1,73,29.1,34,18.8,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,févr. 2024,2024,2,69.1,28.1,31.7,43.3,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,mars 2024,2024,3,100,26.7,30,53.7,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,avr. 2024,2024,4,61.2,25.3,29.2,43.5,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,mai 2024,2024,5,6.2,22.4,26.9,2.6,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,juin 2024,2024,6,35,22.6,26.9,18.4,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,juil. 2024,2024,7,53.6,21.4,25.4,20.6,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,août 2024,2024,8,14.2,21.6,26,8.6,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,sept. 2024,2024,9,1.8,23.6,28.5,0.8,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,oct. 2024,2024,10,2.2,24.6,29.4,1.2,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,nov. 2024,2024,11,2.2,26.3,31,1.4,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,déc. 2024,2024,12,52.5,28.2,32.8,19,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,janv. 2025,2025,1,61.8,27.5,31.7,39.1,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,févr. 2025,2025,2,135.8,26.7,29.7,47.6,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,mars 2025,2025,3,89.5,27.1,30.8,32.7,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,avr. 2025,2025,4,144.2,26.6,30.5,67.4,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,mai 2025,2025,5,9.2,24.9,28.8,5.4,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,juin 2025,2025,6,102.7,22.8,26.5,40.1,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,juil. 2025,2025,7,55.4,22.2,26.3,22.6,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,août 2025,2025,8,86,21.8,25.7,17.6,NA,NA,NA,NA
BOURAKE,-21.9425,165.999833,53,sept. 2025,2025,9,8.4,22.1,26.6,5.6,NA,NA,NA,NA
LA OUENGHI,-21.926167,166.084,8,janv. 2024,2024,1,53.7,28.7,34.4,43,NA,NA,NA,NA
LA OUENGHI,-21.926167,166.084,8,févr. 2024,2024,2,46.5,27.7,32.7,20,NA,NA,NA,NA
LA OUENGHI,-21.926167,166.084,8,mars 2024,2024,3,106.9,26.7,31.2,22,NA,NA,NA,NA
LA OUENGHI,-21.926167,166.084,8,avr. 2024,2024,4,55,25.4,30.6,28,NA,NA,NA,NA
LA OUENGHI,-21.926167,166.084,8,mai 2024,2024,5,7.4,22.2,28.4,2,NA,NA,NA,NA
LA OUENGHI,-21.926167,166.084,8,juin 2024,2024,6,35.2,21.9,27.2,15,NA,NA,NA,NA
LA OUENGHI,-21.926167,166.084,8,juil. 2024,2024,7,87.4,20.8,25.7,36,NA,NA,NA,NA
LA OUENGHI,-21.926167,166.084,8,août 2024,2024,8,14.5,21.1,27.2,8.4,NA,NA,NA,NA
LA OUENGHI,-21.926167,166.084,8,sept. 2024,2024,9,0.3,22.5,28.8,0.2,NA,NA,NA,NA
LA OUENGHI,-21.926167,166.084,8,oct. 2024,2024,10,4,23,28.3,2,NA,NA,NA,NA
LA OUENGHI,-21.926167,166.084,8,nov. 2024,2024,11,5.6,25.1,30.6,3.6,NA,NA,NA,NA
